Window_ID,Train_ID,Time_ms,CH1_Voltage,CH2_Voltage
801,T001,4005,0.0983032469825845,-0.0411442913875409
802,T001,4010,0.0954047990079696,-0.0488734843694892
803,T001,4015,0.0921843012733477,-0.0562806275637552
804,T001,4020,0.0889638035544433,-0.0630436712815712
805,T001,4025,0.0841330570055119,-0.0694846652381474
806,T001,4030,0.0796243602583128,-0.0756036094424735
807,T001,4035,0.0751156635417632,-0.0810784542120407
808,T001,4040,0.0686746682854621,-0.0859091995618758
809,T001,4045,0.0622336730914319,-0.0904178951921164
810,T001,4050,0.0551485784497255,-0.094282491423901
811,T001,4055,0.0487075833859298,-0.0978250379513222
812,T001,4060,0.040656339643019,-0.100401435414783
813,T001,4065,0.0322830462524181,-0.102333733506292
814,T001,4070,0.0235877032257488,-0.103943981911901
815,T001,4075,0.0155364597818691,-0.10491013095353
816,T001,4080,0.00619701750619279,-0.105554230313893
817,T001,4085,-0.0118377672172689,-0.105554230313893
818,T001,4090,-0.0198890102447393,-0.105554230313893
819,T001,4095,-0.0285843526090908,-0.10491013095353
820,T001,4100,-0.0369576451532451,-0.102655783187703
821,T001,4105,-0.0446868381815476,-0.100723485097063
822,T001,4110,-0.0524160311243382,-0.0975029882677369
823,T001,4115,-0.060789323382859,-0.0939604417387185
824,T001,4120,-0.0652980191730661,-0.0897737958181156
825,T001,4125,-0.0723831124994291,-0.0852651001837951
826,T001,4130,-0.0785020566786881,-0.079468205754792
827,T001,4135,-0.0833328020460515,-0.0739933609727838
828,T001,4140,-0.0878414976926185,-0.0672303173600371
829,T001,4145,-0.0917060939383715,-0.0598231742811999
830,T001,4150,-0.0949265907938299,-0.0524160311243382
831,T001,4155,-0.0975029882677369,-0.0443647884737443
832,T001,4160,-0.100723485097063,-0.0359914960186806
833,T001,4165,-0.101689634143035,-0.0279402531784364
834,T001,4170,-0.10297783286897,-0.0186008113666539
835,T001,4175,-0.103299882550092,-0.0092613694286211
836,T001,4180,-0.103943981911901,0.0097395645612317
837,T001,4185,-0.103621932231069,0.018434907410684
838,T001,4190,-0.10297783286897,0.0268082006300237
839,T001,4195,-0.101367584461189,0.0355035436980531
840,T001,4200,-0.0987911870012075,0.0435547873793699
841,T001,4205,-0.0965368392161106,0.0522501306633639
842,T001,4210,-0.0933163423679177,0.0596572750312188
